name,distance_km,speed_kmph,price_basis,need_kwh,charger_kw,duration_h_base,duration_h_travel,duration_h_effective,best_price_start,best_price_mean_c_per_kwh,best_price_cost_AUD,best_price_emissions_kg,best_intensity_start,best_intensity_mean_g_per_kwh,best_intensity_cost_AUD,best_intensity_emissions_kg,cost_delta_AUD,emissions_delta_kg
Melbourne Airport,0.0,40.0,retailB_c_per_kwh,40.0,7.0,5.71,0.0,5.71,2025-09-14 08:00:00+10:00,13.629,5.45,17.48,2025-09-08 09:00:00+10:00,243.5,6.24,9.74,-0.79,7.74
Melbourne Airport,0.0,40.0,spot_c_per_kwh,40.0,11.0,3.64,0.0,3.64,2025-09-14 10:00:00+10:00,-4.178,-1.67,17.97,2025-09-08 10:00:00+10:00,236.7,-0.58,9.47,-1.09,8.5
Melbourne Airport,0.0,40.0,retailA_c_per_kwh,40.0,11.0,3.64,0.0,3.64,2025-09-14 10:00:00+10:00,12.822,5.13,17.97,2025-09-08 10:00:00+10:00,236.7,6.22,9.47,-1.09,8.5
Melbourne Airport,0.0,40.0,retailB_c_per_kwh,40.0,11.0,3.64,0.0,3.64,2025-09-14 10:00:00+10:00,12.822,5.13,17.97,2025-09-08 10:00:00+10:00,236.7,6.22,9.47,-1.09,8.5
Melbourne Airport,0.0,40.0,spot_c_per_kwh,40.0,50.0,0.8,0.0,0.8,2025-09-14 12:00:00+10:00,-4.455,-1.78,19.01,2025-09-08 11:00:00+10:00,232.9,-0.57,9.32,-1.21,9.69
Melbourne Airport,0.0,40.0,retailA_c_per_kwh,40.0,50.0,0.8,0.0,0.8,2025-09-14 12:00:00+10:00,12.545,5.02,19.01,2025-09-08 11:00:00+10:00,232.9,6.23,9.32,-1.21,9.69
Melbourne Airport,0.0,40.0,retailB_c_per_kwh,40.0,50.0,0.8,0.0,0.8,2025-09-14 12:00:00+10:00,12.545,5.02,19.01,2025-09-08 11:00:00+10:00,232.9,6.23,9.32,-1.21,9.69
Geelong,0.0,40.0,spot_c_per_kwh,10.0,7.0,1.43,0.0,1.43,2025-09-14 12:00:00+10:00,-4.455,-0.45,4.75,2025-09-08 11:00:00+10:00,233.3,-0.14,2.33,-0.31,2.42
Geelong,0.0,40.0,retailA_c_per_kwh,10.0,7.0,1.43,0.0,1.43,2025-09-14 12:00:00+10:00,12.545,1.25,4.75,2025-09-08 11:00:00+10:00,233.3,1.56,2.33,-0.31,2.42
Geelong,0.0,40.0,retailB_c_per_kwh,10.0,7.0,1.43,0.0,1.43,2025-09-14 12:00:00+10:00,12.545,1.25,4.75,2025-09-08 11:00:00+10:00,233.3,1.56,2.33,-0.31,2.42
Geelong,0.0,40.0,spot_c_per_kwh,10.0,11.0,0.91,0.0,0.91,2025-09-14 12:00:00+10:00,-4.455,-0.45,4.75,2025-09-08 11:00:00+10:00,232.8,-0.14,2.33,-0.31,2.42
Geelong,0.0,40.0,retailA_c_per_kwh,10.0,11.0,0.91,0.0,0.91,2025-09-14 12:00:00+10:00,12.545,1.25,4.75,2025-09-08 11:00:00+10:00,232.8,1.56,2.33,-0.31,2.42
Geelong,0.0,40.0,retailB_c_per_kwh,10.0,11.0,0.91,0.0,0.91,2025-09-14 12:00:00+10:00,12.545,1.25,4.75,2025-09-08 11:00:00+10:00,232.8,1.56,2.33,-0.31,2.42
